Text,Label,Types
indian people are dirty mind,Bullying ,Religion
youre my spouse,Bullying,Vocational
islam is corrupt from the beginning,Bullying ,Religion
excuse the crimes of islam rather than get rid of them,Bullying,Racism
london er mto khrp ase r,Bullying ,Ethnicity
displaying images of a sexual nature,Bullying,Sexual
i am a robot,Bullying ,Troll
oh my god you cannot do stuff like that girl,Bullying ,Sexual
if you allow me i can fulfill your fantasies,Bullying,Sexual
religion can lead to a sense of guilt and shame,Bullying,Religion
you are a foolish,Bullying ,Vocational
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
the misuse of disaster relief funds for political purposes harms disasteraffected communities,Bullying ,Political
the silence of minority perspectives and voices stifles inclusive and diverse governance,Bullying ,Political
excuse the crimes of islam rather than get rid of them,Bullying,Racism
you appear to be a nomad not sorry im sorry,Not-Bullying,Vocational
the suppression of minority and marginalized voices in the political process perpetuates inequality,Bullying ,Political
holy fuck girl you cant do stuff like that,Bullying ,Sexual
male action moviesehhhh not sexist but female action moviesehhhh,Bullying ,Religion
gonna kiss me,Bullying ,Sexual
election is not to fair,Bullying ,Political
lol boys lol,Bullying ,Troll
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
heroalom is fool of bangladesh actor,Bullying,Troll
called front runners luka nigga know better,Bullying ,Ethnicity
using offensive language to describe sex,Bullying,Sexual
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
fuck suck,Bullying ,Vocational
wait your facebook is now blocked,Bullying,Threats
if they are found guilty or plead guilty then they will receive a punishment this might include a prison sentence,Bullying ,Political
wait your fb is banned now,Bullying,Threats
the suppression of whistleblowers and government transparency impairs accountability,Bullying ,Political
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
this video is worth going viral,Bullying ,Threats
now you are finished,Bullying ,Threats
ill make sure you regret saying no,Bullying,Sexual
eid day are the bad day of month,Bullying ,Religion
oh what did you just post,Bullying,Troll
the key witness for the prosecution was offered police protection after she received,Bullying ,Threats
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
three major railway stations were shut down,Bullying ,Threats
election is not to fair,Bullying ,Political
you simply want to be noticed,Bullying,Vocational
you have never studied the barbarity of the muslims during,Bullying ,Religion
